stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,operator,beginDate,endDate,associatedHucs
2005:KY:SCAN,2005,KY,SCAN,Princeton #1,GC,Caldwell,051402050301,610.0,37.10237,-87.84105,-6.0,18820,PTNK2,NRCS,1993-10-01 00:00,2100-01-01 00:00,"['051302050603', '051302050704', '051302050705', '051402050302']"
2098:HI:SCAN,2098,HI,SCAN,Pua Akala,GC,Hawaii,200100000405,6390.0,19.79264,-155.33183,-10.0,32497,PKLH1,NRCS,2005-02-16 00:00,2021-07-07 10:00,"['200100000303', '200100000304', '200100000305', '200100000401', '200100000402', '200100000404']"
2238:HI:SCAN,2238,HI,SCAN,Puuwai Ranch,GC,Hawaii,200100000206,2830.0,19.98566,-155.35558,-10.0,,,NRCS,2024-06-06 00:00,2100-01-01 00:00,['200100000205']
2236:CA:SCAN,2236,CA,SCAN,Rancheria,GC,Mono,180901010405,7190.0,38.07666,-119.11417,-8.0,,RASC1,NRCS,2023-09-26 00:00,2100-01-01 00:00,"['160503010102', '180901010104', '180901010402', '180901010403', '180901010404', '180901010500']"
2104:TX:SCAN,2104,TX,SCAN,Reese Center,GC,Lubbock,120500011203,3330.0,33.61536,-102.03869,-6.0,30942,REET2,NRCS,2005-03-10 00:00,2100-01-01 00:00,"['120500011304', '120500011305', '120500030101', '120500030103']"
2089:VA:SCAN,2089,VA,SCAN,Reynolds Homestead,GC,Patrick,030101030407,1120.0,36.64517,-80.14902,-5.0,,REYV2,NRCS,2004-04-07 17:00,2100-01-01 00:00,"['030101030401', '030101030403', '030101030405']"
2199:TX:SCAN,2199,TX,SCAN,Riesel,GC,Falls,120701010206,550.0,31.47907,-96.88162,-6.0,,RIET2,NRCS,2013-09-10 00:00,2100-01-01 00:00,"['120602020805', '120701010103', '120701010201', '120701010207', '120701010208']"
2182:AL:SCAN,2182,AL,SCAN,River Road Farms,GC,Houston,031300040801,110.0,31.01912,-85.03693,-6.0,,RVRA1,NRCS,2010-05-09 00:00,2100-01-01 00:00,"['031300040709', '031300040710', '031300040802', '031300040803']"
2036:PA:SCAN,2036,PA,SCAN,Rock Springs Pa,GC,Centre,020503020401,1220.0,40.72044,-77.93294,-5.0,24539,RSPP1,NRCS,1999-11-04 00:00,2100-01-01 00:00,"['020502040102', '020502040103', '020503020401', '020503020601', '020503020701']"
2001:NE:SCAN,2001,NE,SCAN,Rogers Farm #1,GC,Lancaster,102002030905,1200.0,40.84617,-96.46625,-6.0,18827,ROFN1,NRCS,1993-10-19 00:00,2100-01-01 00:00,"['102002030902', '102002030904', '102002030907', '102400060201']"
2229:NV:SCAN,2229,NV,SCAN,Ruby,GC,Elko,160600071103,6010.0,40.63697,-115.2212,-8.0,,RBYN2,NRCS,2019-08-26 00:00,2100-01-01 00:00,"['160600071102', '160600071104']"
2200:TX:SCAN,2200,TX,SCAN,San Angelo,GC,Tom Green,120901040509,1970.0,31.5496,-100.50748,-6.0,73919,SXXT2,NRCS,2013-09-11 00:00,2100-01-01 00:00,"['120901040507', '120901040508', '120901040510', '120901050201']"
2159:UT:SCAN,2159,UT,SCAN,Sand Hollow,GC,Washington,150100080907,3090.0,37.10516,-113.35615,-7.0,43932,SHWU1,NRCS,2010-01-28 00:00,2100-01-01 00:00,"['150100080902', '150100080909', '150100090603']"
2109:MS:SCAN,2109,MS,SCAN,Sandy Ridge,GC,Sunflower,080302070406,130.0,33.65911,-90.57297,-6.0,32625,SRXM6,NRCS,2005-09-22 00:00,2100-01-01 00:00,"['080302070405', '080302070501', '080302070502', '080302070503', '080302070506', '080302070705', '080302070805']"
2193:MO:SCAN,2193,MO,SCAN,Schell-Osage,GC,St. Clair,102901050206,800.0,37.98721,-94.03646,-6.0,59536,SCOM7,NRCS,2012-07-24 00:00,2100-01-01 00:00,"['102901050107', '102901050108', '102901050205']"
2063:AK:SCAN,2063,AK,SCAN,Schor Garden,GC,Kenai Peninsula,190203010806,370.0,59.69254,-151.39367,-9.0,,SCHA2,NRCS,2002-05-06 00:00,2100-01-01 00:00,"['190203010701', '190203010702', '190203010703', '190203010805', '190203010807', '190208000003']"
2070:MS:SCAN,2070,MS,SCAN,Scott,GC,Bolivar,080302071801,140.0,33.61962,-91.10184,-6.0,32317,SCOM6,NRCS,2002-08-12 00:00,2100-01-01 00:00,"['080301000100', '080302071802', '080302090101']"
2012:FL:SCAN,2012,FL,SCAN,Sellers Lake #1,GC,Lake,030801011704,70.0,29.10376,-81.63194,-5.0,19323,SLKF1,NRCS,1994-10-01 00:00,2100-01-01 00:00,"['030801011501', '030801011705', '030801011802', '030801012001']"
2176:AL:SCAN,2176,AL,SCAN,Selma,GC,Dallas,031502011205,140.0,32.40392,-86.89137,-6.0,70253,SMAA1,NRCS,2010-04-11 00:00,2100-01-01 00:00,"['031502011006', '031502011202', '031502011203', '031502011204', '031502011206']"
2171:NM:SCAN,2171,NM,SCAN,Sevilleta,GC,Socorro,130202030703,5250.0,34.35813,-106.69127,-7.0,53314,SEVN5,NRCS,2010-03-09 00:00,2100-01-01 00:00,"['130202030701', '130202030704', '130202030705', '130202030802', '130202030803']"
2186:CA:SCAN,2186,CA,SCAN,Shadow Mtns,GC,San Bernardino,180902031105,3580.0,35.46607,-115.7151,-8.0,70989,DWMC1,NRCS,2011-11-18 00:00,2100-01-01 00:00,"['180902031101', '180902031102', '180902031103', '180902031104', '180902031106', '180902031107']"
2068:IA:SCAN,2068,IA,SCAN,Shagbark Hills,GC,Woodbury,102300031410,1360.0,42.44481,-95.76793,-6.0,28844,SHAI4,NRCS,2002-06-19 09:00,2100-01-01 00:00,"['102300031409', '102300031411', '102300031501', '102300031502', '102300031503']"
